  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 416   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 417   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 418   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 419    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 420   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 421   17    2    0.00   0.00     0      0    0      0      0     0     0.00
 422    8    2    0.00   0.00     0      0    0      0      0     0     0.00
 423    7    2    0.00   0.00     0      0    0      0      0     0     0.00
 424   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 425   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 426    5    2    0.00   0.00     0      0    0      0      0     0     0.00
 427    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 428    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 429   28    2    0.00   0.00     0      0    0      0      0     0     0.00
 430   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 431   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 432   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 433   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 434   17    2    0.00   0.00     0      0    0      0      0     0     0.00
 435    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 436   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 437   17    2    0.00   0.00     0      0    0      0      0     0     0.00
